,species,identifier,primary,mutant,heterologous_expression,KC,KC_SD,vC,vC_SD,S,S_SD,KO,KO_SD,vO,vO_95CI_low,vO_95CI_high,kon_C,kon_O_95CI_low,kon_O_95CI_high,kon_O,kon_O_95CI_low,kon_O_95CI_high,KRuBP,KRuBP_SD,temp_C,pH,isoform,taxonomy,note,short_ref,pmid_or_doi,citation
229,Thalassiosira oceania (CS-427),oceania_young,1,0,False,65,5,2.4,0.4,80,2,954,228,0.431,0.208,0.73,0.0368,0.000303,0.000643,0.000459,0.000303,0.000643,,,25,8,1,Diatoms,,Young 2016,27129950,"Young, Jodi N., Ana M. C. Heureux, Robert E. Sharwood, Rosalind E. M. Rickaby, François M. M. Morel, and Spencer M. Whitney. 2016. “Large Variation in the Rubisco Kinetics of Diatoms Reveals Diversity among Their Carbon-Concentrating Mechanisms.” Journal of Experimental Botany 67 (11):3445–56."
230,Thalassiosira weissflogii (CCMP 1336),weissflogii_young,1,0,False,65,3,3.2,0.2,79,1,2032,458,1.26,0.704,1.89,0.0492,0.000531,0.000725,0.000623,0.000531,0.000725,,,25,8,1,Diatoms,,Young 2016,27129950,"Young, Jodi N., Ana M. C. Heureux, Robert E. Sharwood, Rosalind E. M. Rickaby, François M. M. Morel, and Spencer M. Whitney. 2016. “Large Variation in the Rubisco Kinetics of Diatoms Reveals Diversity among Their Carbon-Concentrating Mechanisms.” Journal of Experimental Botany 67 (11):3445–56."
231,Platycerium superbum,superbum_galmes,1,0,False,12.4,0.2,2.3,0.1,,,459,42,,,,,,,,,,,,25,8,1,Fern,,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
232,Pteridium aquilinum,aquilinum_galmes,1,0,False,13.9,0.1,4,0.1,,,391,14,,,,,,,,,,,,25,8,1,Fern,,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
233,Polypodium aureum,aureum_jordan83,1,0,False,16.1,0.5,,,82,3,,,,,,,,,,,,,,25,8.3,1,Fern,Table 1,Jordan 1983,https://doi.org/10.1016/0003-9861(83)90472-1,"Jordan DB, Ogren WL (1983) Species variation in kinetic properties of ribulose 1,5-bisphosphate carboxylase/oxygenase. Arch Biochem Biophys 227:425–433."
234,Allochromatium vinosum,vinosum_jordan,1,0,False,37,2,6.7,0.4,41,1,290,25,1.28,1,1.61,0.181,0.00374,0.0052,0.00442,0.00374,0.0052,14,1,25,8,1,Gammaproteobacteria,,Jordan 1985,3918498,"Jordan DB, Chollet R. Subunit dissociation and reconstitution of ribulose-1,5-bisphosphate carboxylase from Chromatium vinosum. Arch Biochem Biophys. 1985 Feb 1; 236(2):487-96."
235,Acidithiobacillus ferrooxidans,ferrooxidans_FI_cajar,1,0,E. coli,81,7.06,6.8,0.398,,,,,,,,,,,,,,,,25,8,1,Gammaproteobacteria,"Uses a 2 pKa model, pK1 = 6.251 and pK2 = 10.329",Mueller-Cajar (personal),,Oliver Mueller-Cajar personal communication
236,Allochromatium vinosum,vinosum_savir,0,0,,37,2,6.7,0.4,41,1,290,25,1.28,1,1.6,0.181,0.00373,0.00522,0.00442,0.00373,0.00522,,,25,,1,Gammaproteobacteria,F1A or B?,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
237,Chlamydomonas reinhardtii,reinhardtii_jordan81,1,0,False,29,2.53,,,61,5,480,62.8,,,,,,,,,,,,25,8.3,1,Green algae,"cites Jordan & Ogren 1981 plant phys for methods, unclear what pKa was used but the 1983 paper seems to be an elaboration of this one and give 6.23",Jordan 1981,https://doi.org/10.1038/291513a9,"Jordan DB, Ogren WL (1981) Species variation in the specificity of ribulose biphosphate carboxylase/oxygenase. Nature 291:513–515."
238,Euglena gracilis,gracilis_jordan81,1,0,False,25,2.18,,,54,2,410,53.6,,,,,,,,,,,,25,8.3,1,Green algae,"cites Jordan & Ogren 1981 plant phys for methods, unclear what pKa was used but the 1983 paper seems to be an elaboration of this one and give 6.23",Jordan 1981,https://doi.org/10.1038/291513a8,"Jordan DB, Ogren WL (1981) Species variation in the specificity of ribulose biphosphate carboxylase/oxygenase. Nature 291:513–515."
239,Scenedesmus obliquus,obliquus_jordan81,1,0,False,38,3.31,,,63,2,660,86.3,,,,,,,,,,,,25,8.3,1,Green algae,"cites Jordan & Ogren 1981 plant phys for methods, unclear what pKa was used but the 1983 paper seems to be an elaboration of this one and give 6.23",Jordan 1981,https://doi.org/10.1038/291513a7,"Jordan DB, Ogren WL (1981) Species variation in the specificity of ribulose biphosphate carboxylase/oxygenase. Nature 291:513–515."
240,Chlamydomonas reinhardtii,reinhardtii_savir,0,0,,29,2,5.8,0.2,61,5,480,58,1.58,1.11,2.18,0.2,0.00266,0.00417,0.00329,0.00266,0.00417,,,25,,1,Green algae,vC measured at 30 C and adjusted to 25 C using activation energy determined for a different RuBisCO from Euglena Gracis (by Tcherkez below),Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
241,Euglena gracilis,gracilis_savir,0,0,,25,1.75,,,54,2,410,49,,,,,,,,,,,,25,,1,Green algae,,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
242,Scenedesmus obliquus,obliquus_savir,0,0,,38,3,,,63,2,660,79,,,,,,,,,,,,25,,1,Green algae,,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
243,Cycas panzhihuaensis,panzhihuaensis_galmes,1,0,False,8.8,0.2,3.1,0.3,,,525,21,,,,,,,,,,,,25,8,1,Gymnosperm,,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
244,Metasequoia glyptostroboides,glyptostroboides_galmes,1,0,False,15.5,1.3,2.7,0.4,,,561,68,,,,,,,,,,,,25,8,1,Gymnosperm,,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
245,Pavlova lutheri,lutheri_heureux,1,0,False,14.5,1.6,2.5,0.1,125,2,1146,212,1.58,0.958,2.38,0.172,0.00111,0.00178,0.00138,0.00111,0.00178,,,25,8.16,1,Haptophyte algae,"Methods same as Sharwood 2016 - assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply",Heureux 2017,28582571,"Heureux, Ana M. C., Jodi N. Young, Spencer M. Whitney, Maeve R. Eason-Hubbard, Renee B. Y. Lee, Robert E. Sharwood, and Rosalind E. M. Rickaby. 2017. “The Role of Rubisco Kinetics and Pyrenoid Morphology in Shaping the CCM of Haptophyte Microalgae.” Journal of Experimental Botany 68 (14):3959–69."
246,Pleurochrysis carterae,pleur_carterae_heureux,1,0,False,17.7,0.5,3.3,0.4,102,1,366,60,0.666,0.42,0.968,0.187,0.00139,0.00229,0.00183,0.00139,0.00229,,,25,8.16,1,Haptophyte algae,"Methods same as Sharwood 2016 - assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Heureux 2017,28582571,"Heureux, Ana M. C., Jodi N. Young, Spencer M. Whitney, Maeve R. Eason-Hubbard, Renee B. Y. Lee, Robert E. Sharwood, and Rosalind E. M. Rickaby. 2017. “The Role of Rubisco Kinetics and Pyrenoid Morphology in Shaping the CCM of Haptophyte Microalgae.” Journal of Experimental Botany 68 (14):3959–69."
247,Tisochrysis lutea,lutea_heureux,1,0,False,24.1,0.5,2.2,0.1,89,1,800,55,0.82,0.691,0.965,0.0914,0.000926,0.00113,0.00103,0.000926,0.00113,,,25,8.16,1,Haptophyte algae,"Methods same as Sharwood 2016 - assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply",Heureux 2017,28582571,"Heureux, Ana M. C., Jodi N. Young, Spencer M. Whitney, Maeve R. Eason-Hubbard, Renee B. Y. Lee, Robert E. Sharwood, and Rosalind E. M. Rickaby. 2017. “The Role of Rubisco Kinetics and Pyrenoid Morphology in Shaping the CCM of Haptophyte Microalgae.” Journal of Experimental Botany 68 (14):3959–69."
248,Ceratophyllum demersum,demersum_galmes,1,0,False,13.6,0.5,3.5,0.2,,,317,13,,,,,,,,,,,,25,8,1,Macroalgae,Aquatic macrophyte using HCO3−,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
249,Galdieria sulfuraria,sulfuraria_savir,0,0,,3.3,0.4,1.2,0.1,166,6,374,92,0.811,0.405,1.36,0.363,0.00165,0.003,0.00219,0.00165,0.003,92,7.29,25,8.3,1,Non-green algae,From Whitney PlantJ 2001,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
250,Griffithsia monilis,monilis_savir,0,0,,9.3,0.8,2.6,0.1,167,3,,,,,,,,,,,,44,3.49,25,8.3,1,Non-green algae,"From Whitney PlantJ 2001, d13C from tcherkez",Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
251,Phaeodactylum tricornutum,triconutum_savir,0,0,,27.9,0.4,3.4,0.1,113,1,467,22,0.503,0.446,0.562,0.122,0.00101,0.00115,0.00108,0.00101,0.00115,56,4.44,25,8.3,1,Non-green algae,From Whitney PlantJ 2001,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
252,Galdieria sulfuraria,sulfuraria_whitney,,0,,3.3,0.4,1.2,0.1,166,6,374,92,0.815,0.408,1.36,0.364,0.00165,0.00301,0.00219,0.00165,0.00301,92,9,25,,1,Non-green algae,,Whitney 2001,,"Whitney SM, Baldet P, Hudson GS, Andrews TJ. Form I Rubiscos from non-green algae are expressed abundantly but not assembled in tobacco chloroplasts. Plant J. 2001 Jun;26(5):535-47."
253,Griffithsia monilis,monilis_whitney,,0,,9.3,0.8,2.6,0.1,167,3,,,,,,,,,,,,44,2,25,,1,Non-green algae,,Whitney 2001,,"Whitney SM, Baldet P, Hudson GS, Andrews TJ. Form I Rubiscos from non-green algae are expressed abundantly but not assembled in tobacco chloroplasts. Plant J. 2001 Jun;26(5):535-47."
254,Phaeodactylum tricornutum,triconutum_whitney,,0,,27.9,0.4,3.4,0.1,113,1,467,22,0.503,0.447,0.563,0.122,0.00101,0.00115,0.00108,0.00101,0.00115,56,6,25,,1,Non-green algae,,Whitney 2001,,"Whitney SM, Baldet P, Hudson GS, Andrews TJ. Form I Rubiscos from non-green algae are expressed abundantly but not assembled in tobacco chloroplasts. Plant J. 2001 Jun;26(5):535-47."
255,Espeletia schultzii,schultzii_castrillo,,0,,25,2.18,,,,,,,,,,,,,,,,,,25,,1,Plant,"at 3,100m elevation. values at other temps here.",Castrillo 1995,https://doi.org/10.1007/BF00317283,"Castrillo M. 1995. Ribulose-1,5-bis-phosphate carboxylase activity 193–196."
256,Rhodospirillum rubrum,rubrum_S_jordan84,1,0,False,,,,,11.2,0.9096385735929892,,,,,,,,,,,,20,1.59,25,8.2,2,Alphaproteobacteria,Table 1. KRuBP reported as approximately 20 uM. Error likely large.,Jordan 1984,https://doi.org/10.1007/BF00398730,"Jordan DB, Ogren WL. 1984. The CO2/O2 specificity of ribulose 1,5-bisphosphate carboxylase/oxygenase. Dependence on ribulosebisphosphate concentration, pH and temperature. Planta 161, 308–313."
257,Synechococcus sp. PCC 6301,6301_green_a,1,0,E. coli,273,10,11.4,0.1,43.8,1.8,,,,,,,,,,,,63.9,4.5,25,8,1,Cyanobacteria,"S measured at pH 8.3, rest at 8",Greene 2007,17391103,"Greene, D. N., Whitney, S. M., and Matsumura, I. (2007). Artificially evolved Synechococcus PCC6301 Rubisco variants exhibit improvements in folding and catalytic efficiency. Biochem. J 404, 517–524."
258,Synechococcus sp. PCC 6301,6301_green_b,1,0,E. coli,284,24.7,11.6,0.68,43,1,,,,,,,,,,,,54,3,25,8,1,Cyanobacteria,"second row of table, S measured at pH 8.3, rest at 8",Greene 2007,17391103,"Greene, D. N., Whitney, S. M., and Matsumura, I. (2007). Artificially evolved Synechococcus PCC6301 Rubisco variants exhibit improvements in folding and catalytic efficiency. Biochem. J 404, 517–524."
259,Agriophyllum squarrosum,squarrosum_kin_orr,1,0,False,15.4,1.5,2.8,0.1,93.9,1.1,339,35,0.658,0.485,0.877,0.182,0.0016,0.00243,0.00193,0.0016,0.00243,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
260,Agrostis scabra,scabra_kin_orr,1,0,False,22,1.7,3.6,0.1,103,1.6,653,131,1.03,0.607,1.5,0.163,0.00136,0.00189,0.00158,0.00136,0.00189,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
261,Agrostis stolonifera,stolonifera_kin_orr,1,0,False,25.3,1.5,5.2,0.1,105,1.4,802,138,1.57,1.03,2.16,0.205,0.00173,0.00223,0.00196,0.00173,0.00223,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
262,Amphicarpaea bracteata,bracteata_kin_orr,1,0,False,29,2.1,4,0.1,97.5,2.2,693,121,0.983,0.63,1.37,0.138,0.00122,0.00168,0.00142,0.00122,0.00168,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
263,Arctagrostis latifolia,latifolia_kin_orr,1,0,False,21,1.1,5.8,0.1,105,1.4,497,55,1.31,1.01,1.65,0.276,0.00237,0.00297,0.00264,0.00237,0.00297,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
264,Artemisia myriantha,myriantha_kin_orr,1,0,False,26.4,1.3,3.1,0.1,110,1.7,844,124,0.902,0.63,1.2,0.117,0.000951,0.00121,0.00107,0.000951,0.00121,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
265,Artemisia vulgaris L.,atermisia_vulgaris_L_kin_orr,1,0,False,31.9,4.3,3.9,0.2,105,2.6,626,88,0.73,0.478,1.09,0.122,0.000894,0.00162,0.00117,0.000894,0.00162,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
266,Avena sativa,avena_sativa_kin_hermida_carrera,1,0,False,10.8,0.9,2.3,0.3,99.9,3,,,,,,,,,,,,,,25,8,1,C3 plants,"KC and kcat at pH 8, S and pH 8.2",Hermida-Carrera 2016,27329223,"Hermida-Carrera C, Kapralov MV, Galmes J. 2016. Rubisco catalytic properties and temperature response in crops. Plant Physiology, doi: 10.1104/pp.16.01846."
267,Beta vulgaris,beta_vulgaris_kin_hermida_carrera,1,0,False,10.8,1.2,2,0.3,101,2,,,,,,,,,,,,,,25,8,1,C3 plants,"KC and kcat at pH 8, S and pH 8.2",Hermida-Carrera 2016,27329223,"Hermida-Carrera C, Kapralov MV, Galmes J. 2016. Rubisco catalytic properties and temperature response in crops. Plant Physiology, doi: 10.1104/pp.16.01846."
268,Beta vulgarisssp.vulgaris,vulgaris_vulgaris_kin_orr,1,0,False,17,0.9,3.8,0.1,97.8,1.8,401,41,0.916,0.714,1.14,0.224,0.00204,0.0026,0.00229,0.00204,0.0026,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
269,Brassica oleracea,brassica_oleracea_kin_hermida_carrera,1,0,False,11.8,0.1,2.1,0.3,96.2,1.3,,,,,,,,,,,,,,25,8,1,C3 plants,"KC and kcat at pH 8, S and pH 8.2",Hermida-Carrera 2016,27329223,"Hermida-Carrera C, Kapralov MV, Galmes J. 2016. Rubisco catalytic properties and temperature response in crops. Plant Physiology, doi: 10.1104/pp.16.01846."
270,Bromus anomalus,anomalus_kin_orr,1,0,False,16.9,3.1,2.9,0.2,101,3.2,494,206,0.834,0.149,1.8,0.172,0.0012,0.00269,0.0017,0.0012,0.00269,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
271,Calamagrostis arundinacea,arundinacea_kin_orr,1,0,False,22.7,1.3,4.1,0.1,104,1.6,614,84,1.07,0.764,1.41,0.18,0.00154,0.00199,0.00174,0.00154,0.00199,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
272,Calamagrostis canescens,cal_canescens_kin_orr,1,0,False,15.2,2.2,2.5,0.1,98.5,2.6,594,226,0.99,0.248,1.92,0.164,0.00127,0.00238,0.00167,0.00127,0.00238,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
273,Calamagrostis foliosa,foliosa_kin_orr,1,0,False,20.9,1.1,3.5,0.1,105,1.4,330,26,0.527,0.428,0.638,0.167,0.00143,0.00181,0.0016,0.00143,0.00181,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
274,Calamagrostis inexpansa,inexpansa_kin_orr,1,0,False,18.8,1.7,3.3,0.1,111,1.3,608,139,0.966,0.53,1.48,0.176,0.00133,0.00195,0.00159,0.00133,0.00195,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
275,Calamagrostis nutkaensis,nutkaensis_kin_orr,1,0,False,20.1,2.8,3.1,0.1,109,1.2,601,205,0.851,0.267,1.57,0.154,0.00111,0.00196,0.00142,0.00111,0.00196,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
276,Capsicum annuum,annuum_kin_hermida_carrera,1,0,False,9.6,0.3,1.9,0.1,96,4.5,,,,,,,,,,,,,,25,8,1,C3 plants,"KC and kcat at pH 8, S and pH 8.2",Hermida-Carrera 2016,27329223,"Hermida-Carrera C, Kapralov MV, Galmes J. 2016. Rubisco catalytic properties and temperature response in crops. Plant Physiology, doi: 10.1104/pp.16.01846."
277,Chenopodium murale,murale_kin_orr,1,0,False,23.8,3.1,4.4,0.2,109,0.8,354,53,0.598,0.397,0.886,0.185,0.00133,0.00229,0.0017,0.00133,0.00229,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
278,Chenopodium petiolare,petiolare_kin_orr,1,0,False,25.6,2,4.4,0.1,98.5,2.6,589,101,1.03,0.665,1.45,0.172,0.0015,0.00209,0.00174,0.0015,0.00209,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
279,Chenopodium rubrum,rubrum_kin_orr,1,0,False,14.5,1.3,4.1,0.1,97.8,1,346,37,1,0.748,1.32,0.283,0.00244,0.00354,0.0029,0.00244,0.00354,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
280,Chrysanthellum indicum var. afroamericanum,indicum_var_afroamericanum_kin_orr,1,0,False,28.1,2.3,4.7,0.1,82.4,0.6,598,100,1.21,0.798,1.71,0.167,0.00173,0.00243,0.00203,0.00173,0.00243,,,25,8,1,C4 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
281,Citrullus ecirrhosus,ecirrhosus_kin_orr,1,0,False,18.9,3,3.1,0.2,99.9,1.5,544,203,0.888,0.235,1.75,0.164,0.00121,0.00241,0.00165,0.00121,0.00241,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
